Timestamp,Region,Type of Area ,Age,Gender,Ethnicity ,Education,-in usage,Romantic Partner ,Close friend,Acquaintance/Stranger,Parent/Guardian,Short answer,-in usage w/ gender ,Boss,Doing,"Again, thinking about your own pronunciation, for the next few questions I want you to indicate what kind of person you think you are likely to drop the 'g' with?

1= Not likely at all, will never use it with someone like this 
5= Very likely, use it all the time with people like this  [Parent/Guardian]",Admitting,Feeling,Ending,Shopping,Nothing,Struggling,Talking,Something,Anything,Developing,Warning,,
3/2/2023 16:12:39,Northeast,Suburban,22,Female,White,Currently in College,I drop the 'g' on -ing ending word multiples times a day,4,5,1,3,,Female,2,4,3,2,4,2,4,5,2,5,3,4,1,4,,
3/5/2023 18:01:18,Northeast,Urban,19,Female,White,Currently in College,I often drop the 'g' on -ing ending words,5,5,5,5,I feel like it is a very normal thing to drop the g and doesn’t make anything less professional usually. ,No Difference,5,5,5,1,5,1,5,5,2,5,5,1,1,5,,
3/5/2023 20:02:29,Northeast,Suburban,61,Female,White,Bachelors Degree,I rarely drop the 'g' on -ing ending words,1,1,1,1,Not a person who uses slang,Male,1,1,1,1,1,1,1,3,1,1,1,1,1,1,,
3/5/2023 20:07:20,Northeast,Suburban,21,Female,White,Currently in College,I rarely drop the 'g' on -ing ending words,3,3,1,2,I use more proper language when speaking to authority and strangers/people I am not close with,Female,1,4,2,1,4,1,3,4,1,3,3,1,1,1,,
3/5/2023 20:18:38,Northeast,Suburban,21,Female,Hispanic or Latino,Bachelors Degree,I rarely drop the 'g' on -ing ending words,2,4,2,3,,Male,1,4,3,1,4,2,4,4,4,3,4,2,1,1,,
3/8/2023 22:47:55,Northeast,Suburban,23,Female,White,Bachelors Degree,I sometimes drop the 'g' on -ing ending words,3,3,2,3,I know my verbal habits when I surround myself around certain people. ,No Difference,1,3,3,1,1,1,1,3,3,1,2,1,1,1,,
3/15/2023 12:45:42,Southeast,Urban,20,Female,White,Currently in College,I often drop the 'g' on -ing ending words,3,4,2,4,Because each person has a different levels of politeness you need to uphold ,Female,1,4,4,1,3,1,3,3,2,3,4,1,1,1,,
3/15/2023 13:27:38,Southeast,Suburban,22,Female,White,Currently in College,I often drop the 'g' on -ing ending words,5,5,2,4,"The closer I am to a person, the more likely I'll drop the g",No Difference,1,4,4,1,3,1,1,5,3,4,5,1,1,1,,
3/15/2023 13:32:57,Southeast,Rural,21,Male,White,Currently in College,I often drop the 'g' on -ing ending words,2,5,3,5,Because using it in certain cases sounds unprofessional ,Male,1,5,5,1,5,3,3,5,4,5,5,2,1,5,,
3/15/2023 13:33:22,Southeast,Suburban,21,Female,White,Currently in College,I sometimes drop the 'g' on -ing ending words,2,2,1,2,Based on professionalism and comfortability of relationship,Male,1,4,2,2,4,3,4,4,4,4,4,1,2,3,,
