"Estimate","Std. Error","z value","Pr(>|z|)","Odds ratio"
"1|2",-1.89502289203894,7.67137248331365,-0.247025274311851,0.804888664017096,0.150314893992608
"2|3",1.40163955102666,7.67304775820303,0.18267051049281,0.85505655560945,4.06185412754101
"3|4",3.29021829351934,7.68203708355631,0.42830023569688,0.668432547355821,26.8487239186806
"4|5",5.06820640732268,7.67907735826189,0.660001999051333,0.509252546497089,158.889089312245
"Situationacquaintance",2.75716579779801,0.728802299020964,3.78314640541316,0.000154858263045052,15.7551263963931
"Situationparent_guard",5.68183629782379,0.915895790819342,6.20358380808905,5.51916268295969e-10,293.48786653689
"Situationclose",7.14072909497883,1.01585727540614,7.0292641179579,2.07625632176092e-12,1262.34842555917
"Situationromantic",6.33861166459721,0.962802835429165,6.58349916654722,4.59503165354e-11,566.009953986544
"RegionSoutheast",0.96304346854214,1.38416451311582,0.695757953203324,0.486580425272943,2.61965719744335
"GenderMale",0.0277055546513241,1.51098414092191,0.0183360989046648,0.985370729540529,1.02809292267113
"Age",-0.165995209494288,0.353377963956202,-0.469738428610284,0.638541908900343,0.847050291978943
