,Estimate,Std. Error,z value,Pr(>|z|),Odds ratio,2.5%,97.5%
1|2,2.74,0.69,3.98,0.00,15.49,4.01,59.84
2|3,4.03,0.71,5.67,0.00,56.38,13.98,227.42
3|4,5.35,0.74,7.24,0.00,209.83,49.35,892.12
4|5,6.74,0.77,8.75,0.00,841.96,186.32,3804.68
WordAnything,1.32,0.69,1.90,0.06,3.74,0.96,14.59
WordDeveloping,1.21,0.71,1.71,0.09,3.37,0.84,13.58
WordDoing,4.41,0.69,6.37,0.00,82.32,21.21,319.44
WordEnding,1.57,0.68,2.30,0.02,4.81,1.26,18.37
WordFeeling,5.14,0.69,7.42,0.00,171.12,43.99,665.60
WordNothing,5.79,0.71,8.12,0.00,327.36,80.90,1324.74
WordShopping,3.38,0.68,4.96,0.00,29.37,7.72,111.74
WordSomething,4.81,0.70,6.91,0.00,122.90,31.39,481.25
WordStruggling,3.56,0.68,5.25,0.00,35.31,9.34,133.53
WordTalking,5.05,0.69,7.32,0.00,155.66,40.26,601.88
WordWarning,2.57,0.69,3.74,0.00,13.06,3.39,50.28
